Date,VTI,VXUS,BND,VOO,VBR,VTV,MTUM,DFUS,DFAX,DFAI,DFAE
2023-02-17 00:00:00+00:00,197.3452032242,50.9203070835,65.58167422060001,360.1222410434,163.6390127303,134.235128678,138.2038839027,42.9793258581,21.3215600328,25.0782118789,21.5735762154
2023-02-21 00:00:00+00:00,193.2554962137,50.3212446472,65.0121063304,352.9721468449,159.4269524579,132.0821245221,137.1265167342,42.1081233069,21.1186732159,24.7995650802,21.3862242726
2023-02-22 00:00:00+00:00,193.0919079333,50.0355379468,65.156758493,352.5294761409,159.7002181131,131.7451325672,136.6703342394,42.0500431368,20.9895634233,24.6509534543,21.2738131069
2023-02-23 00:00:00+00:00,194.1215518159,50.2935956117,65.3918182572,354.3001589572,160.3692478208,131.9978765333,137.2429888605,42.2630037604,21.1094510879,24.7995650802,21.3862242726
2023-02-24 00:00:00+00:00,191.9564128104,49.464124546,65.0301878507,350.508588144,159.5871426696,131.3426143989,136.4859200393,41.8661225982,20.7912876704,24.437324242,20.945947207
2023-02-27 00:00:00+00:00,192.6396344521,49.9433744951,65.1386769727,351.7211209421,159.8132935567,131.3332535113,136.5926861551,42.0016429951,20.9618970392,24.7159710406,21.0396231784
2023-02-28 00:00:00+00:00,191.9949041705,49.5931533785,65.156758493,350.3931088299,159.5306049478,130.6873522645,135.1756086181,41.8854826549,20.8420093747,24.5487829614,20.8897416241
2023-03-01 00:00:00+00:00,192.4568004917,50.100052363,64.7718173905,349.1132130985,159.8792542321,130.5375780624,135.8938533971,41.720922173,21.0910068318,24.7159710406,21.3112834954
2023-03-02 00:00:00+00:00,192.7551085324,50.210648505099996,64.6358944385,351.7211209421,160.4069396353,131.2022010844,136.4859200393,42.0306830801,21.127895344,24.7438357205,21.3862242726
2023-03-03 00:00:00+00:00,195.8921543804,50.8465763221,65.1342785958,357.2929978478,162.272684454,132.7841910946,137.8350555027,42.7179650927,21.4137813133,25.0875001055,21.6016790068
2023-03-06 00:00:00+00:00,195.6323376998,50.73598018,64.9802325835,357.7260452757,160.161942841,132.7935519823,138.0097636922,42.7082850644,21.3400042889,25.0224825192,21.545473424
2023-03-07 00:00:00+00:00,192.7166171723,49.8696437337,64.9077403425,352.1926614747,158.0794700889,130.5937433882,136.1365036603,42.0887632502,20.9895634233,24.5859358679,21.1895047326
2023-03-08 00:00:00+00:00,192.966811013,50.100052363,64.8533711617,352.7411882167,158.1454307643,130.3784429726,135.3309047865,42.1371633919,21.0910068318,24.706682814,21.3112834954
2023-03-09 00:00:00+00:00,189.1561663632,49.5194226171,65.0708478849,346.2839699029,153.726065512,127.8884468618,133.3994086915,41.3143609825,20.8512315027,24.5023418283,20.8710064298
2023-03-10 00:00:00+00:00,185.9710063151,49.0954707391,65.8501394763,341.3183593963,149.4103527497,126.2690133011,132.0890972703,40.6270789699,20.6667889419,24.2515597096,20.7679628613
2023-03-13 00:00:00+00:00,185.2011791131,48.8650621098,66.375708224,340.7409628257,145.3302138281,125.2112329984,131.2349683439,40.5109186297,20.5284570212,24.0472187239,20.7304924727
2023-03-14 00:00:00+00:00,188.5018132416,49.2982303329,65.9588778379,346.399449217,147.7613358645,126.6996141322,132.4288076388,41.1594805289,20.6760110699,24.3351537491,20.7585952641
2023-03-15 00:00:00+00:00,187.0487643978,48.0171583538,66.6384925979,344.263081906,144.4538791406,125.0520979086,130.1673071859,40.8981197636,20.1319055154,23.601383846,20.4026265728
2023-03-16 00:00:00+00:00,190.2820386461,48.7083842418,66.3213390432,350.1525269255,146.3290469128,126.3907048403,131.3999705229,41.5854017762,20.3716808445,23.9171835512,20.7117572784
2023-03-17 00:00:00+00:00,187.8282144398,48.2291342928,66.8016001403,346.3224630076,142.559865461,124.2657833473,129.2549421963,41.0917203305,20.1918493477,23.6571132058,20.6087137099
2023-03-20 00:00:00+00:00,189.464097244,48.8194412012,66.511631176,349.4500277647,144.8779120539,125.9975475597,131.5164426492,41.4498813793,20.4270136128,24.0100658174,20.6930220841
2023-03-21 00:00:00+00:00,192.1681152909,49.4013948049,66.3304005733,354.0210839481,147.6011456528,127.3923198172,133.2247005021,42.072984804,20.6869605025,24.3539280416,20.8716190707
2023-03-22 00:00:00+00:00,188.7327614022,49.2720717818,66.919400032,348.150885481,143.5586985458,125.0240152457,131.0505541439,41.3156128181,20.6222848779,24.2234439266,20.9466630943
2023-03-23 00:00:00+00:00,189.0755269638,49.4660563164,67.0734460442,348.9784872321,142.3917599683,124.4546860598,130.1902327827,41.4418414824,20.6684817527,24.2420845144,21.209317177
2023-03-24 00:00:00+00:00,190.2638912876,49.3367332934,67.2093689962,351.2951947386,143.9652543202,125.5284644758,131.5767934259,41.6748790165,20.6315242529,24.1582018691,21.1624146622
2023-03-27 00:00:00+00:00,190.746966216,49.5953793395,66.511631176,351.8749535592,145.6145797253,126.6210811096,132.8461799302,41.8011076809,20.7423967522,24.3818889234,21.0686096327
2023-03-28 00:00:00+00:00,190.4764442561,49.7986012328,66.3938312843,351.2565441505,146.1833126235,126.7058530898,133.3246409972,41.7040087083,20.8163117518,24.437810687,21.3312637154
2023-03-29 00:00:00+00:00,193.2203098492,50.2697065311,66.4663235253,356.2521326553,147.8042013837,128.2129105158,134.4280308047,42.3060223381,20.9826205008,24.708099211,21.3969272361
2023-03-30 00:00:00+00:00,194.2637516945,50.8239480584,66.5569388267,358.3779149978,148.031694543,128.6932850703,134.6916726172,42.5196400777,21.2320836243,25.0063486168,21.603298301
2023-03-31 00:00:00+00:00,197.1911857604,50.9994578754,66.9012769717,363.3831661496,150.4867248873,130.0873131894,135.76576889,43.141073502,21.3059986239,25.118192144,21.5939177981
2023-04-03 00:00:00+00:00,197.7129066831,51.368952227,67.1847243527,364.8229005542,150.5815137036,131.1422533876,138.4900676185,43.3061417553,21.4723073729,25.3511994922,21.6408203128
2023-04-04 00:00:00+00:00,196.3892813793,51.3412401506,67.4572421638,362.7647567408,147.6809759224,130.021379427,137.2792681836,42.9857151459,21.453828623,25.3232386104,21.6595813187
2023-04-05 00:00:00+00:00,195.6743304854,50.9809831578,67.6389207045,361.8854558628,146.8847498648,130.7654890311,138.9197061276,42.8400666871,21.2413229993,25.1368327318,21.4625907567
2023-04-06 00:00:00+00:00,196.3216508894,51.1564929748,67.6207528504,363.2672143854,146.8468343382,130.878518338,138.72441589620001,42.9662953514,21.3244773738,25.2113950833,21.5563957863
2023-04-10 00:00:00+00:00,196.7660798235,51.19344241,67.1665564987,363.6633829129,148.4487653351,131.2929591302,139.3200511021,43.0536844267,21.3521954986,25.2020747893,21.612678804
2023-04-11 00:00:00+00:00,196.9689712934,51.4243763797,67.1938082798,363.7116961479,149.7947665277,131.8769438827,139.8082766806,43.1119438102,21.4723073729,25.3418791983,21.7909083601
2023-04-12 00:00:00+00:00,196.1380824166,51.5629367616,67.2664796961,362.2622990963,148.7046951393,131.6603043778,140.0426249584,42.9468755569,21.5554617474,25.4910039012,21.6783423246
2023-04-13 00:00:00+00:00,198.6887180384,52.2372639532,67.2301439879,366.9583455437,149.7568510011,132.4609286353,141.0678986734,43.5022816799,21.8326429958,25.8172141888,21.9691379162
2023-04-14 00:00:00+00:00,198.13801262,52.024804701,66.9303743958,366.2046590768,148.7994839557,132.2631273481,140.2867377476,43.4323704196,21.7310098714,25.7333315434,21.8471913778
2023-04-17 00:00:00+00:00,198.9302555026,52.024804701,66.5670173143,367.4511405413,150.2497528463,132.9413031898,140.1109765394,43.5780188784,21.7494886213,25.6774097798,21.9128548985
2023-04-18 00:00:00+00:00,199.0268704882,52.1910771592,66.6669405117,367.7023693636,149.9274708706,133.0166560611,140.2769732361,43.597438673,21.8234036208,25.8265344827,21.8753328867
2023-04-19 00:00:00+00:00,199.1234854739,51.8770069604,66.5761012414,367.6830440695,150.4488093607,132.8659503185,139.5641638914,43.597438673,21.6848129966,25.7240112495,21.6689618217
2023-04-20 00:00:00+00:00,197.8868136573,51.8677696016,66.8667869065,365.6055749621,149.6620621847,132.1030024966,139.1638189169,43.3449813443,21.6570948718,25.7053706616,21.6408203128
2023-04-21 00:00:00+00:00,198.0607206315,51.8770069604,66.748695855,365.8181531964,149.3776957356,132.1500980412,139.0564092896,43.3935308306,21.6386161219,25.7985736009,21.4344492479
2023-04-24 00:00:00+00:00,198.13801262,51.9509058307,67.0121297391,366.3012855469,149.2449913927,132.5457006155,139.9645088658,43.4226605224,21.6755736217,25.8638156584,21.415688242
2023-04-25 00:00:00+00:00,194.83378011,51.1287808985,67.4481582368,360.5133599872,146.0316505173,131.0857387341,138.8415900351,42.6944182283,21.2967592489,25.4816836073,20.9935656091
2023-04-26 00:00:00+00:00,193.9545837404,51.19344241,67.2119761338,358.9093605834,144.7140859696,129.3997182388,136.7031620009,42.5196400777,21.3337167487,25.4630430194,21.1155121475
2023-04-27 00:00:00+00:00,197.5969687003,51.849294884,66.9212904687,366.0307314306,147.4060883549,131.2364444767,138.0604291093,43.2964318581,21.6016586221,25.7612924252,21.406307739
2023-04-28 00:00:00+00:00,199.3167154453,51.9601431895,67.2937314772,369.1614290623,149.0459348783,132.3949948729,139.0173512433,43.6556980565,21.6755736217,25.7985736009,21.5094932715
2023-05-01 00:00:00+00:00,199.2201004596,51.8585322428,66.6031213823,368.91020024,148.8089628373,132.498605071,139.3005220789,43.6654079537,21.629376747,25.7706127191,21.4250687449
2023-05-02 00:00:00+00:00,196.7854028206,51.3135280743,67.2587714698,364.7745873192,146.0221716357,130.558268635,136.9375102786,43.1216537075,21.4076317483,25.4723633133,21.2562196918
2023-05-03 00:00:00+00:00,195.6356844911,51.3781895858,67.5410652574,362.2333111552,145.491354264,129.484490219,135.9903526562,42.8691963789,21.4076317483,25.5376053709,21.199936674
2023-05-04 00:00:00+00:00,194.1767982074,51.4705631737,67.4500027453,359.5857458742,142.8846618135,128.3447780406,134.877198337,42.5002202832,21.4353498731,25.4723633133,21.415688242
2023-05-05 00:00:00+00:00,197.7612141759,52.2095518768,67.2041339625,366.1853337828,146.3254958481,130.3604673478,137.2206811142,43.3352714471,21.7587279962,25.8731359524,21.6595813187
2023-05-08 00:00:00+00:00,197.9737671444,52.246501312,66.88541517,366.38824937,145.9842561091,130.238018932,137.1816230679,43.3449813443,21.7772067461,25.8917765402,21.6783423246
2023-05-09 00:00:00+00:00,197.1622012647,52.0063299835,66.8125651603,364.8035752602,145.4250020925,129.7388061596,137.0839779522,43.1507833992,21.6940523716,25.8265344827,21.5376347803
2023-05-10 00:00:00+00:00,198.0317361358,51.9693805483,67.2223464649,366.3979120171,145.3491710394,129.5127475457,136.9960973481,43.3741110361,21.6663342467,25.7799330131,21.5470152833
2023-05-11 00:00:00+00:00,197.7708756745,51.7476839374,67.4408964941,365.8857917255,144.5150294552,128.9664392288,136.4297556769,43.2964318581,21.5277436226,25.658769192,21.4344492479
2023-05-12 00:00:00+00:00,197.3071237432,51.5167499676,67.0857526967,365.3929967279,144.5529449818,128.9381819021,136.7031620009,43.2284625773,21.4445892481,25.6121677223,21.2280781829
2023-05-15 00:00:00+00:00,198.1476741186,52.0617541362,66.9127339236,366.6588034864,145.8989461744,129.3620418031,136.9570393018,43.4420803169,21.6570948718,25.8265344827,21.5657762892
2023-05-16 00:00:00+00:00,196.6114958464,51.5721741204,66.7488214018,364.2334790865,143.7282822793,127.7513741791,134.945549918,43.102233913,21.4445892481,25.5469256648,21.3875467331
2023-05-17 00:00:00+00:00,199.1621314682,51.8400575252,66.630440136,368.5816702416,146.8752709831,129.2301742784,136.17587837600001,43.675117851,21.5369829975,25.6680894859,21.4907322656
2023-05-18 00:00:00+00:00,201.1427386745,51.673785067,66.3572525996,372.1858375768,148.1833566492,129.6446150705,136.0782332603,44.1217731247,21.5000254977,25.6121677223,21.4250687449
2023-05-19 00:00:00+00:00,200.6596637461,51.849294884,66.1751275753,371.5964161091,146.8373554566,129.6446150705,136.6348104199,43.9955444604,21.5554617474,25.7426518373,21.453210253800002
2023-05-22 00:00:00+00:00,201.0074776946,52.0063299835,66.1569150728,371.7993316963,147.7757647387,129.4279755655,136.0684687488,44.0635137412,21.6016586221,25.7519721313,21.5845372951
2023-05-23 00:00:00+00:00,198.8819480097,51.2488665627,66.2024463289,367.6443934815,146.9700597995,128.7027041793,135.4044819619,43.597438673,21.3152379988,25.4071212558,21.2937417036
2023-05-24 00:00:00+00:00,197.3457697375,50.6392008826,66.0203213046,364.8905390833,145.1216778801,127.4688009117,135.0041369875,43.2867219608,21.0657748753,25.0249892046,21.1905561711
2023-05-25 00:00:00+00:00,198.6887180384,50.5098778596,65.7744525218,368.06954995,144.8278325493,126.9130734859,133.6566343906,43.6071485702,21.0103386256,24.9690674411,21.1530341593
2023-05-26 00:00:00+00:00,201.3069841501,51.1010688221,65.8564087828,372.8525602205,146.2591436766,127.87382259500001,133.4808731823,44.1897424055,21.2228442494,25.1554733197,21.4625907567
2023-05-30 00:00:00+00:00,201.3746146401,50.6207261651,66.2935088411,372.9685119847,146.0126927541,127.4876391296,133.1293507657,44.1897424055,21.0472961254,24.9317862653,21.2937417036
2023-05-31 00:00:00+00:00,200.1669273192,50.140383508,66.5120588702,370.9393561123,143.9462965569,126.9413308126,132.3091317937,43.8790256933,20.8440298766,24.6614977413,21.1436536563
2023-06-01 00:00:00+00:00,202.1668575226,50.9255590051,66.6914192366,374.4952102124,145.0648045902,127.7796315058,133.6273408559,44.3451007616,21.1581686248,25.0436297925,21.5001127685
2023-06-02 00:00:00+00:00,205.509736027,51.673785067,66.3171073696,379.9932563618,150.5341192955,130.2945335855,135.1310756379,45.0733430556,21.5000254977,25.4164415497,21.8378108748
